Image_Name,Image_Size,Is_Cubic,Euclidean_Error fp16
2024-07-11_14-13-51,320*240,Yes,86.6418
2024-07-10_15-38-54,320*240,Yes,67.5715
2024-07-10_15-50-55,320*240,Yes,149.207
2024-07-11_14-15-08,320*240,Yes,92.501
2024-07-11_14-12-14,320*240,Yes,84.0715
2024-07-10_15-52-36,320*240,Yes,120.823
2024-07-10_15-51-48,320*240,Yes,112.9
2024-07-11_14-17-18,320*240,Yes,125.253
2024-07-11_14-10-53,320*240,Yes,65.0213
2024-07-10_15-51-21,320*240,Yes,113.585
2024-07-11_14-19-12,320*240,Yes,140.964
2024-07-11_14-18-28,320*240,Yes,135.257
2024-07-11_14-17-59,320*240,Yes,130.635
2024-07-11_14-03-31,320*240,Yes,98.3504
2024-07-10_15-54-07,320*240,Yes,121.254
2024-07-10_15-43-56,320*240,Yes,189.88
2024-07-10_15-52-37,320*240,Yes,112.747
2024-07-11_14-16-32,320*240,Yes,104.454
2024-07-10_15-41-46,320*240,Yes,76.0496
2024-07-10_15-43-03,320*240,Yes,85.5625
2024-07-10_15-40-03,320*240,Yes,81.863
2024-07-10_15-51-45,320*240,Yes,108.744
2024-07-10_15-40-53,320*240,Yes,103.597
2024-07-11_14-13-12,320*240,Yes,89.2224
2024-07-11_14-06-07,320*240,Yes,216.389
2024-07-11_14-14-24,320*240,Yes,100.432
2024-07-10_15-44-58,320*240,Yes,97.2933
2024-07-11_14-02-35,320*240,Yes,54.2118
2024-07-10_15-53-12,320*240,Yes,81.9777
2024-07-10_15-48-15,320*240,Yes,123.196
2024-07-11_14-05-35,320*240,Yes,82.908
2024-07-11_14-04-22,320*240,Yes,151.781

fp32                                             fp16
2024-07-11_14-13-51,320*240,Yes,27.2441          ,86.6418
2024-07-10_15-38-54,320*240,Yes,35.9089          ,67.5715
2024-07-10_15-50-55,320*240,Yes,37.224          ,149.207
2024-07-11_14-15-08,320*240,Yes,41.5679          ,92.501
2024-07-11_14-12-14,320*240,Yes,30.6466          ,84.0715
2024-07-10_15-52-36,320*240,Yes,46.9076          ,120.823
2024-07-10_15-51-48,320*240,Yes,36.3481          ,112.9
2024-07-11_14-17-18,320*240,Yes,50.1794          ,125.253
2024-07-11_14-10-53,320*240,Yes,31.0445          ,65.0213
2024-07-10_15-51-21,320*240,Yes,42.9563          ,113.585
2024-07-11_14-19-12,320*240,Yes,37.1371          ,140.964
2024-07-11_14-18-28,320*240,Yes,51.3696          ,135.257
2024-07-11_14-17-59,320*240,Yes,36.0596          ,130.635
2024-07-11_14-03-31,320*240,Yes,47.9321          ,98.3504
2024-07-10_15-54-07,320*240,Yes,24.0898          ,121.254
2024-07-10_15-43-56,320*240,Yes,23.9331          ,189.88
2024-07-10_15-52-37,320*240,Yes,34.3968          ,112.747
2024-07-11_14-16-32,320*240,Yes,30.3972          ,104.454
2024-07-10_15-41-46,320*240,Yes,36.5001          ,76.0496
2024-07-10_15-43-03,320*240,Yes,34.3441          ,85.5625
2024-07-10_15-40-03,320*240,Yes,30.3805          ,81.863
2024-07-10_15-51-45,320*240,Yes,30.6596          ,108.744
2024-07-10_15-40-53,320*240,Yes,46.6812          ,103.597
2024-07-11_14-13-12,320*240,Yes,26.7975          ,89.2224
2024-07-11_14-06-07,320*240,Yes,81.5323          ,216.389
2024-07-11_14-14-24,320*240,Yes,48.451          ,100.432
2024-07-10_15-44-58,320*240,Yes,32.216          ,97.2933
2024-07-11_14-02-35,320*240,Yes,24.5681          ,54.2118
2024-07-10_15-53-12,320*240,Yes,27.5274          ,81.9777
2024-07-10_15-48-15,320*240,Yes,36.5173          ,123.196
2024-07-11_14-05-35,320*240,Yes,32.0918          ,82.908
2024-07-11_14-04-22,320*240,Yes,37.2381          ,151.781
