Frame,Inference_Time_Seconds,Features_Count
1,0.471921,421
1,0.473996,403
1,0.463471,291
1,0.456889,365
1,0.4521,422
1,0.450924,261
1,0.456499,282
1,0.456971,362
1,0.450368,544
1,0.447504,286
1,0.450126,327
1,0.448872,363
1,0.450417,344
1,0.450893,421
1,0.447868,237
1,0.46405,285
1,0.447344,264
1,0.449337,410
1,0.461388,375
1,0.450396,261
1,0.454388,387
1,0.450784,276
1,0.475005,370
1,0.451106,413
1,0.455828,352
1,0.447117,348
1,0.448576,318
1,0.450032,483
1,0.450652,271
1,0.459456,285
1,0.447507,383
1,0.447405,484
Average,,0.454389
